id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Paper;-3596.0;680.0;17148.0;-4512.0;2311.0;1200.0;0
1;Yehia;Paper;-5208.0;584.0;17744.0;-4480.0;2093.0;931.0;102
2;Yehia;Paper;-5680.0;504.0;17128.0;-4496.0;1707.0;1471.0;205
3;Yehia;Paper;-3248.0;772.0;18420.0;-4480.0;2204.0;1119.0;309
4;Yehia;Paper;-1360.0;888.0;17568.0;-4496.0;1730.0;884.0;412
5;Yehia;Paper;1608.0;1556.0;16548.0;-4480.0;830.0;1297.0;516
6;Yehia;Paper;-1580.0;1988.0;20024.0;-4496.0;-269.0;924.0;618
7;Yehia;Paper;2464.0;3232.0;17320.0;-4480.0;-517.0;1698.0;721
8;Yehia;Paper;352.0;4880.0;17208.0;-4496.0;-744.0;3997.0;825
9;Yehia;Paper;2176.0;8500.0;22608.0;-4480.0;-2104.0;-2008.0;928
10;Yehia;Paper;-16888.0;11180.0;19028.0;-4496.0;-671.0;-3712.0;1032
11;Yehia;Paper;-22408.0;2340.0;12732.0;-4496.0;-715.0;-2368.0;1134
12;Yehia;Paper;2756.0;1556.0;21084.0;-4496.0;4039.0;-563.0;1238
13;Yehia;Paper;-952.0;1036.0;19848.0;-4512.0;2097.0;299.0;1341
14;Yehia;Paper;-40.0;1588.0;17272.0;-4480.0;2539.0;563.0;1444
15;Yehia;Paper;-1380.0;1720.0;16064.0;-4496.0;2358.0;-758.0;1548
