id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Paper;624.0;1328.0;17528.0;-4512.0;2379.0;381.0;0
1;Mohammad;Paper;-1356.0;1356.0;19232.0;-4496.0;3263.0;-439.0;104
2;Mohammad;Paper;-10360.0;2324.0;20536.0;-4512.0;1082.0;-1551.0;207
3;Mohammad;Paper;-10120.0;1796.0;15084.0;-4464.0;102.0;570.0;309
4;Mohammad;Paper;688.0;4912.0;16636.0;-4480.0;5166.0;1897.0;413
5;Mohammad;Paper;2300.0;6496.0;14592.0;-4464.0;5949.0;-3920.0;516
6;Mohammad;Paper;10016.0;5180.0;16120.0;-4480.0;3009.0;-1716.0;620
7;Mohammad;Paper;8976.0;3272.0;18280.0;-4496.0;2475.0;-732.0;723
8;Mohammad;Paper;-348.0;1184.0;17056.0;-4480.0;1692.0;61.0;826
9;Mohammad;Paper;180.0;1444.0;15996.0;-4496.0;2913.0;435.0;929
10;Mohammad;Paper;504.0;1584.0;18912.0;-4480.0;1604.0;266.0;1032
11;Mohammad;Paper;264.0;1628.0;17544.0;-4496.0;3045.0;740.0;1135
12;Mohammad;Paper;428.0;1392.0;16304.0;-4480.0;1955.0;740.0;1238
