id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Rock;10100.0;868.0;14708.0;-4416.0;2062.0;441.0;0
1;Assem;Rock;10096.0;996.0;14828.0;-4400.0;2308.0;464.0;102
2;Assem;Rock;9312.0;956.0;14064.0;-4416.0;2532.0;162.0;206
3;Assem;Rock;8476.0;896.0;14184.0;-4400.0;3087.0;93.0;309
4;Assem;Rock;664.0;1460.0;16348.0;-4400.0;4960.0;-521.0;413
5;Assem;Rock;15568.0;8316.0;30196.0;-4384.0;-9876.0;9401.0;515
6;Assem;Rock;13496.0;9840.0;29396.0;-4416.0;-30689.0;16107.0;618
7;Assem;Rock;14028.0;2908.0;15260.0;-4416.0;-30525.0;6769.0;722
8;Assem;Rock;4360.0;-6264.0;7000.0;-4400.0;-22742.0;590.0;825
9;Assem;Rock;13780.0;-9516.0;-4168.0;-4448.0;-10169.0;-11500.0;929
10;Assem;Rock;-11168.0;-9292.0;3872.0;-4416.0;4272.0;-18759.0;1031
11;Assem;Rock;-2980.0;-6840.0;-4092.0;-4400.0;31528.0;-31214.0;1135
12;Assem;Rock;-4352.0;-3404.0;21760.0;-4400.0;26746.0;-17778.0;1238
13;Assem;Rock;1940.0;-1008.0;18656.0;-4416.0;15731.0;-16043.0;1341
14;Assem;Rock;7784.0;1732.0;18220.0;-4416.0;4596.0;190.0;1445
15;Assem;Rock;17644.0;3764.0;15868.0;-4432.0;893.0;-1341.0;1547
16;Assem;Rock;10016.0;2884.0;13948.0;-4400.0;1332.0;11.0;1651
