id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Rock;-5088.0;948.0;18452.0;-4976.0;1050.0;1589.0;0
1;Mohammad;Rock;-2428.0;516.0;16984.0;-5024.0;3257.0;1050.0;104
2;Mohammad;Rock;10712.0;5504.0;32767.0;-5024.0;-2490.0;6267.0;206
3;Mohammad;Rock;-31300.0;9544.0;28440.0;-5024.0;-32768.0;10688.0;309
4;Mohammad;Rock;-5140.0;-600.0;-8392.0;-5040.0;-29825.0;25793.0;413
5;Mohammad;Rock;1868.0;-3728.0;-10852.0;-4976.0;5957.0;16857.0;516
6;Mohammad;Rock;13484.0;-2104.0;4020.0;-4992.0;31221.0;15110.0;619
7;Mohammad;Rock;13568.0;3612.0;17756.0;-4992.0;32767.0;13523.0;722
8;Mohammad;Rock;5908.0;7980.0;24128.0;-5024.0;24002.0;11666.0;825
9;Mohammad;Rock;-1832.0;11856.0;23472.0;-4992.0;18486.0;4227.0;929
10;Mohammad;Rock;3096.0;14268.0;25116.0;-5008.0;2402.0;6724.0;1031
11;Mohammad;Rock;-9948.0;7308.0;17408.0;-5008.0;-4656.0;5399.0;1135
12;Mohammad;Rock;-11496.0;-20.0;14372.0;-5008.0;-2755.0;3661.0;1238
13;Mohammad;Rock;-1204.0;220.0;15008.0;-5008.0;1433.0;2256.0;1342
14;Mohammad;Rock;992.0;1372.0;17068.0;-5024.0;4314.0;-149.0;1444
15;Mohammad;Rock;1440.0;1664.0;17908.0;-5024.0;1729.0;655.0;1547
