id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Scissors;-816.0;-2352.0;17064.0;-4496.0;2990.0;-1198.0;0
1;Mohammad;Scissors;-236.0;-1872.0;17596.0;-4448.0;2178.0;-178.0;104
2;Mohammad;Scissors;-588.0;-2276.0;15072.0;-4496.0;4613.0;-1328.0;207
3;Mohammad;Scissors;840.0;-2036.0;15784.0;-4480.0;3526.0;-571.0;309
4;Mohammad;Scissors;484.0;-1196.0;16452.0;-4480.0;4719.0;-877.0;413
5;Mohammad;Scissors;-40.0;-956.0;15328.0;-4464.0;3950.0;-799.0;516
6;Mohammad;Scissors;1492.0;-148.0;19004.0;-4496.0;3004.0;616.0;620
7;Mohammad;Scissors;2100.0;-516.0;18804.0;-4512.0;2243.0;3039.0;722
8;Mohammad;Scissors;2472.0;-1100.0;10540.0;-4480.0;5768.0;3762.0;825
9;Mohammad;Scissors;1448.0;1112.0;18668.0;-4480.0;9187.0;-942.0;929
10;Mohammad;Scissors;2696.0;2580.0;23652.0;-4480.0;5302.0;-3345.0;1032
11;Mohammad;Scissors;-5316.0;2656.0;23300.0;-4496.0;954.0;-825.0;1135
12;Mohammad;Scissors;-264.0;1904.0;22632.0;-4448.0;1947.0;830.0;1238
13;Mohammad;Scissors;2628.0;1616.0;20832.0;-4480.0;-282.0;102.0;1342
14;Mohammad;Scissors;952.0;1100.0;16212.0;-4480.0;1866.0;-110.0;1445
