id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Scissors;4372.0;1280.0;17388.0;-4416.0;2874.0;-166.0;0
1;Assem;Scissors;3752.0;1132.0;16352.0;-4432.0;2234.0;18.0;102
2;Assem;Scissors;4288.0;1604.0;18008.0;-4400.0;2038.0;280.0;206
3;Assem;Scissors;4268.0;1112.0;17660.0;-4416.0;2509.0;122.0;309
4;Assem;Scissors;5552.0;1512.0;18300.0;-4400.0;4911.0;-1174.0;412
5;Assem;Scissors;5364.0;1460.0;19296.0;-4384.0;3951.0;-1497.0;516
6;Assem;Scissors;3932.0;1572.0;14048.0;-4384.0;3132.0;-855.0;618
7;Assem;Scissors;6188.0;2596.0;19600.0;-4416.0;3093.0;-172.0;722
8;Assem;Scissors;4244.0;2428.0;21376.0;-4400.0;-318.0;664.0;825
9;Assem;Scissors;5764.0;1308.0;14880.0;-4400.0;-1366.0;324.0;929
10;Assem;Scissors;2936.0;16.0;15988.0;-4384.0;-2510.0;1190.0;1032
11;Assem;Scissors;5960.0;-588.0;13640.0;-4416.0;-890.0;895.0;1134
12;Assem;Scissors;5224.0;-1672.0;14544.0;-4432.0;646.0;827.0;1238
13;Assem;Scissors;4752.0;-2192.0;15160.0;-4416.0;643.0;1646.0;1341
14;Assem;Scissors;4116.0;-2192.0;18200.0;-4416.0;2378.0;761.0;1445
15;Assem;Scissors;4512.0;-1952.0;17184.0;-4416.0;2708.0;285.0;1547
16;Assem;Scissors;4164.0;-2104.0;17284.0;-4400.0;1908.0;207.0;1650
17;Assem;Scissors;3156.0;-2284.0;16820.0;-4400.0;2296.0;449.0;1754
