id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Expelliarmus;432.0;608.0;20396.0;-1328.0;-651.0;14.0;0
1;Wizard #1;Expelliarmus;404.0;564.0;20568.0;-1328.0;-631.0;33.0;104
2;Wizard #1;Expelliarmus;456.0;648.0;20528.0;-1312.0;-634.0;37.0;206
3;Wizard #1;Expelliarmus;328.0;528.0;20476.0;-1328.0;-634.0;35.0;310
4;Wizard #1;Expelliarmus;456.0;576.0;20316.0;-1312.0;-637.0;28.0;413
5;Wizard #1;Expelliarmus;428.0;504.0;20252.0;-1328.0;-648.0;16.0;515
6;Wizard #1;Expelliarmus;488.0;540.0;20388.0;-1312.0;-658.0;48.0;619
7;Wizard #1;Expelliarmus;480.0;504.0;20324.0;-1312.0;-642.0;66.0;722
8;Wizard #1;Expelliarmus;480.0;552.0;20384.0;-1328.0;-631.0;36.0;825
9;Wizard #1;Expelliarmus;452.0;604.0;20584.0;-1344.0;-635.0;35.0;928
10;Wizard #1;Expelliarmus;380.0;560.0;20360.0;-1328.0;-619.0;28.0;1032
11;Wizard #1;Expelliarmus;408.0;548.0;20288.0;-1312.0;-639.0;11.0;1134
12;Wizard #1;Expelliarmus;496.0;556.0;20468.0;-1312.0;-627.0;31.0;1237
13;Wizard #1;Expelliarmus;464.0;508.0;20200.0;-1328.0;-635.0;34.0;1341
14;Wizard #1;Expelliarmus;456.0;528.0;20152.0;-1312.0;-668.0;93.0;1443
15;Wizard #1;Expelliarmus;484.0;700.0;20240.0;-1328.0;-621.0;3.0;1547
16;Wizard #1;Expelliarmus;516.0;460.0;20440.0;-1328.0;-647.0;61.0;1650
17;Wizard #1;Expelliarmus;340.0;648.0;20360.0;-1344.0;-625.0;55.0;1752
18;Wizard #1;Expelliarmus;440.0;448.0;20476.0;-1328.0;-645.0;74.0;1856
19;Wizard #1;Expelliarmus;484.0;548.0;20388.0;-1344.0;-645.0;36.0;1959
20;Wizard #1;Expelliarmus;324.0;508.0;20392.0;-1312.0;-649.0;-1.0;2062
21;Wizard #1;Expelliarmus;360.0;496.0;20440.0;-1328.0;-680.0;26.0;2165
22;Wizard #1;Expelliarmus;420.0;596.0;20428.0;-1312.0;-614.0;29.0;2269
23;Wizard #1;Expelliarmus;464.0;332.0;20420.0;-1344.0;-640.0;17.0;2371
24;Wizard #1;Expelliarmus;416.0;708.0;20284.0;-1328.0;-644.0;54.0;2474
25;Wizard #1;Expelliarmus;408.0;392.0;20528.0;-1344.0;-653.0;79.0;2578
26;Wizard #1;Expelliarmus;364.0;552.0;20336.0;-1344.0;-654.0;39.0;2680
27;Wizard #1;Expelliarmus;352.0;692.0;20360.0;-1296.0;-617.0;47.0;2784
28;Wizard #1;Expelliarmus;500.0;420.0;20408.0;-1344.0;-617.0;39.0;2887
29;Wizard #1;Expelliarmus;420.0;616.0;20364.0;-1296.0;-609.0;39.0;2989
30;Wizard #1;Expelliarmus;324.0;420.0;20308.0;-1296.0;-626.0;36.0;3093
31;Wizard #1;Expelliarmus;468.0;564.0;20524.0;-1312.0;-639.0;53.0;3196
32;Wizard #1;Expelliarmus;516.0;468.0;20404.0;-1328.0;-619.0;33.0;3299
33;Wizard #1;Expelliarmus;484.0;636.0;20484.0;-1296.0;-644.0;47.0;3402
34;Wizard #1;Expelliarmus;372.0;496.0;20364.0;-1344.0;-613.0;21.0;3505
35;Wizard #1;Expelliarmus;452.0;524.0;20388.0;-1328.0;-628.0;26.0;3608
36;Wizard #1;Expelliarmus;384.0;608.0;20436.0;-1328.0;-634.0;42.0;3711
37;Wizard #1;Expelliarmus;496.0;564.0;20476.0;-1344.0;-640.0;22.0;3815
38;Wizard #1;Expelliarmus;248.0;476.0;20460.0;-1360.0;-643.0;36.0;3917
39;Wizard #1;Expelliarmus;396.0;616.0;20436.0;-1312.0;-628.0;41.0;4021
40;Wizard #1;Expelliarmus;492.0;496.0;20416.0;-1312.0;-637.0;53.0;4124
41;Wizard #1;Expelliarmus;488.0;576.0;20456.0;-1328.0;-616.0;39.0;4226
42;Wizard #1;Expelliarmus;436.0;652.0;20364.0;-1328.0;-636.0;39.0;4330
43;Wizard #1;Expelliarmus;444.0;464.0;20348.0;-1312.0;-635.0;36.0;4433
